CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,SSC_Marks,HSC_Marks,ExtracurricularActivities_Yes,PlacementTraining_Yes,PlacementStatus_Placed
7.5,2,1,1,76,4.2,57,80,1,1,0
6.5,1,1,0,68,4.1,61,66,0,0,0
8.5,2,3,2,90,4.8,72,87,1,1,1
6.7,0,1,1,74,3.9,55,70,0,0,0
6.5,0,1,0,82,4.4,65,69,0,0,0
8.1,1,3,2,90,4.8,79,84,1,1,1
8.7,2,3,2,90,4.8,79,85,1,1,1
8.0,1,1,3,84,4.0,57,61,0,1,0
7.3,1,3,1,81,4.2,69,65,1,1,0
7.4,1,1,1,81,4.1,55,62,1,0,0
8.6,2,3,0,81,4.7,71,83,1,0,1
6.7,2,1,2,76,4.8,55,78,1,0,0
7.6,1,1,1,67,3.5,55,67,0,0,0
8.8,1,3,2,90,4.6,83,83,1,1,1
6.5,1,2,0,65,4.4,61,68,0,1,0
6.5,1,2,1,78,4.2,62,62,0,0,0
7.4,1,2,1,75,4.2,55,74,0,1,0
8.7,2,3,2,81,4.7,85,79,1,1,1
8.0,1,1,1,68,4.2,59,66,0,1,0
7.7,1,3,2,90,4.8,80,85,1,0,1
7.3,1,1,0,64,3.2,58,67,0,1,0
8.4,2,1,2,76,4.1,56,63,0,0,0
7.7,1,2,0,73,4.0,65,75,0,1,1
7.5,1,1,1,68,4.7,58,64,0,0,0
7.4,0,1,0,79,4.3,63,73,0,0,0
7.4,1,1,1,64,4.3,73,73,0,1,0
8.5,1,2,2,90,4.8,80,86,1,1,1
8.0,1,3,0,80,4.4,85,84,1,1,1
6.5,1,1,1,72,3.8,64,67,0,0,0
8.4,1,1,0,81,4.6,78,82,1,0,1
8.7,0,3,2,88,4.8,87,84,0,0,0
8.0,0,1,0,60,4.0,57,70,0,0,0
8.4,2,3,1,88,4.6,74,82,1,1,0
8.2,2,3,2,90,4.4,90,81,1,1,1
8.1,2,2,2,90,4.5,73,82,1,1,1
7.9,1,3,1,75,3.7,62,65,0,1,0
8.9,2,3,2,90,4.8,69,85,1,1,1
6.5,1,1,1,72,4.5,66,70,0,0,0
7.6,1,1,0,73,4.3,55,76,0,1,1
8.4,1,3,2,90,4.6,67,80,1,1,1
7.8,2,3,0,77,4.8,79,87,1,1,0
8.4,1,2,1,74,4.3,59,80,1,1,1
7.6,1,2,0,74,3.7,58,74,0,1,1
7.9,1,1,1,62,4.6,87,82,1,1,0
7.9,1,3,1,80,4.2,56,82,1,1,1
8.0,2,1,2,90,4.8,74,81,1,1,0
7.9,2,1,0,83,4.0,63,70,1,1,0
8.4,2,3,2,90,4.8,90,85,1,1,1
8.6,0,3,2,90,4.8,73,78,1,1,1
7.8,0,1,0,81,3.9,79,65,1,1,1
8.1,2,3,3,90,4.8,80,83,1,1,1
7.2,1,3,1,75,4.2,64,84,1,1,0
7.7,0,1,0,81,4.8,69,63,1,1,1
8.4,1,3,2,90,4.5,79,86,1,1,1
8.0,1,3,1,87,4.6,72,83,1,1,0
7.8,0,1,1,72,4.0,61,69,0,0,0
6.5,1,1,0,63,3.5,56,64,0,0,0
6.5,0,3,0,71,3.6,57,74,0,1,0
7.9,1,2,1,81,4.0,60,71,1,1,0
6.7,1,1,0,75,4.2,56,64,0,0,0
6.9,0,1,0,73,4.1,55,69,0,1,1
6.5,1,1,2,85,4.3,62,72,1,0,1
6.5,0,1,1,79,3.9,55,66,0,0,0
7.3,1,1,1,71,3.6,65,64,0,0,0
8.3,2,3,0,71,4.6,77,82,1,1,1
7.5,1,1,1,74,3.9,63,65,0,0,0
8.0,2,3,3,76,4.1,78,61,1,1,0
8.3,1,2,1,69,3.8,76,71,0,1,0
6.6,0,3,0,87,4.5,80,82,0,0,0
7.4,0,3,0,90,4.6,65,70,0,0,0
8.0,1,1,1,78,4.4,66,68,0,0,0
8.0,2,3,2,90,4.8,78,86,1,1,1
6.7,1,2,0,73,4.5,55,65,0,1,0
8.3,1,2,3,78,3.8,67,65,1,0,0
8.5,1,3,2,90,4.8,61,86,1,1,1
7.5,2,1,2,90,4.8,55,65,1,0,0
7.4,1,1,0,60,3.4,58,62,0,0,0
8.4,0,1,2,88,4.8,74,82,1,1,1
8.2,1,3,0,82,4.8,70,73,1,1,1
6.5,1,1,0,74,4.2,74,61,0,1,0
7.7,1,1,0,71,4.7,57,69,0,1,0
7.3,1,2,2,67,4.5,63,66,0,0,0
6.5,0,1,0,78,3.7,75,69,1,1,0
6.5,1,1,1,68,4.1,55,65,0,0,0
7.5,1,1,0,76,4.3,73,79,0,1,0
7.8,1,1,1,65,3.9,55,70,0,0,0
6.8,1,1,0,78,4.3,61,62,0,0,0
8.4,2,3,2,90,4.1,76,82,1,1,1
7.8,2,2,2,80,4.6,59,74,0,1,1
7.5,1,2,0,77,4.2,58,63,1,1,0
8.9,0,1,2,80,4.8,75,82,1,1,1
6.5,0,1,0,75,3.7,58,62,0,0,0
8.4,1,1,2,87,4.1,78,70,0,0,0
8.1,0,1,0,71,3.6,69,67,1,0,0
8.5,2,3,0,86,4.2,60,85,1,1,1
7.6,1,1,1,82,4.8,79,86,1,1,1
7.8,2,3,0,79,4.3,87,87,1,0,0
8.6,1,3,2,90,4.7,68,84,1,1,1
7.9,2,3,2,76,4.6,79,82,1,1,1
6.5,0,2,2,75,4.5,65,59,1,0,0
8.2,0,2,1,82,4.5,78,87,1,1,1
8.2,1,1,0,81,4.3,60,70,1,1,1
7.6,1,1,0,64,4.1,69,67,0,0,0
7.3,1,2,1,84,4.6,55,72,0,1,0
8.4,2,3,2,90,4.5,85,79,1,1,1
8.3,2,3,3,90,4.5,70,88,1,1,1
7.8,1,3,0,88,4.8,70,78,1,1,1
8.3,1,2,1,82,4.7,77,84,1,1,0
7.5,1,1,1,69,4.1,55,75,0,0,0
8.6,2,3,2,78,4.8,82,81,1,1,0
7.8,2,2,2,77,4.2,57,69,1,0,0
6.6,1,1,1,71,4.3,70,66,0,0,0
7.4,0,1,1,70,4.2,61,70,0,0,0
6.9,1,2,1,74,4.1,55,69,0,0,0
6.6,1,1,0,77,4.5,62,70,0,0,0
8.3,1,2,2,88,4.1,80,79,1,1,1
7.9,2,2,2,88,4.8,81,85,1,1,1
6.6,1,2,1,76,4.1,82,69,1,1,0
8.0,2,3,2,86,4.8,62,83,1,1,1
7.5,1,2,0,86,3.8,55,68,0,0,0
7.9,2,3,2,90,4.8,81,78,1,0,0
8.3,1,3,2,78,3.9,60,61,1,1,1
7.4,1,1,0,74,3.5,67,62,0,1,0
8.0,2,2,2,87,3.8,79,78,1,1,1
8.7,2,3,2,87,4.7,80,84,1,1,1
7.4,1,2,0,77,4.5,66,86,0,1,0
7.9,2,3,2,90,4.8,83,88,1,1,1
7.5,1,1,1,70,4.6,59,66,0,0,0
7.4,2,1,1,87,4.5,68,84,1,1,0
7.7,0,1,1,69,4.8,78,65,1,1,0
7.8,0,1,1,70,3.8,73,73,0,1,0
7.5,2,3,0,88,4.6,79,83,1,1,0
8.2,2,3,1,69,4.0,77,82,1,1,0
7.8,1,3,2,75,4.3,77,86,1,1,0
7.6,1,1,0,72,4.6,68,84,1,1,0
8.5,2,3,2,90,4.8,80,79,1,1,1
6.7,0,1,1,71,4.7,76,70,0,1,0
7.6,1,3,0,82,4.5,56,72,0,1,0
7.6,0,2,0,80,3.7,85,61,1,0,0
7.3,1,2,0,71,4.4,58,67,0,1,0
8.1,1,2,1,78,3.5,71,70,0,1,0
7.6,2,3,0,88,4.4,80,68,0,1,1
7.4,1,2,0,77,3.8,59,63,0,1,0
8.4,0,2,1,85,4.3,62,81,1,1,1
6.7,1,2,1,73,4.3,71,66,0,1,0
6.5,1,1,0,70,4.7,79,64,0,1,0
7.4,1,2,1,68,3.4,57,61,0,1,0
8.4,2,3,1,76,4.1,68,64,1,1,0
6.5,1,1,0,68,4.3,55,70,0,1,0
6.6,1,2,1,82,4.4,74,82,1,1,0
8.1,0,2,2,80,4.4,82,85,1,0,1
6.5,1,1,0,74,4.2,59,65,0,0,0
8.5,1,3,2,75,4.5,75,84,1,1,0
8.7,2,3,2,90,4.8,83,81,1,1,1
7.5,1,2,3,86,4.8,60,67,0,1,0
8.1,2,3,2,90,4.8,86,88,1,1,1
8.2,1,3,1,83,4.1,77,83,1,1,0
8.7,2,1,0,66,4.8,70,59,1,0,0
6.6,0,1,2,72,4.2,86,88,0,1,1
8.1,0,2,3,78,4.1,81,78,1,1,1
6.5,1,3,0,80,3.7,59,66,0,0,0
7.4,1,1,0,88,4.5,76,71,0,1,1
8.2,2,3,2,80,4.8,79,84,1,1,1
6.8,2,2,2,80,4.6,61,69,0,1,0
8.0,1,2,1,76,4.5,68,75,0,1,0
8.5,1,3,0,82,4.4,68,88,1,1,1
6.6,1,2,1,65,4.1,56,58,0,0,0
8.4,1,2,0,79,3.8,60,64,0,1,0
7.8,1,1,1,79,3.7,56,59,0,1,0
7.7,1,2,0,81,3.8,65,59,1,1,0
6.8,1,1,0,73,3.7,55,65,0,1,0
7.3,1,2,1,71,4.7,59,57,0,0,0
6.5,2,2,2,79,4.5,83,87,1,1,1
8.3,2,1,1,83,4.5,82,86,1,1,0
7.3,1,2,1,79,3.8,58,73,0,1,0
6.8,1,2,1,65,3.9,71,85,1,1,1
8.7,1,3,2,90,4.8,69,88,1,1,1
8.3,2,3,1,90,4.8,55,80,1,0,1
8.2,1,2,1,79,3.8,55,70,1,1,0
8.2,1,1,2,86,4.4,76,82,0,0,0
8.5,0,2,0,81,3.2,55,63,0,1,0
8.0,0,1,1,87,3.8,55,71,0,1,0
7.9,1,1,0,77,4.7,64,60,1,1,0
7.7,1,1,2,82,4.4,55,70,0,0,0
7.6,0,3,3,75,4.3,82,87,1,1,1
6.7,1,3,0,77,4.1,69,67,1,1,0
8.5,0,2,2,75,4.5,76,83,1,0,1
8.8,1,2,2,90,4.8,75,88,1,0,1
6.5,2,3,1,82,4.6,83,63,1,0,0
7.5,0,1,1,80,4.2,84,64,1,0,0
7.7,2,3,2,78,4.6,78,83,1,1,0
7.7,0,1,0,79,4.8,58,71,0,1,0
8.6,1,1,2,84,4.3,57,82,1,1,1
7.5,0,2,0,69,3.6,61,59,0,0,0
6.8,1,1,0,68,4.3,65,69,0,1,0
8.1,0,3,2,90,4.8,69,84,1,1,0
8.4,2,3,3,82,4.5,82,85,1,0,1
7.5,1,1,0,67,3.4,65,71,0,0,0
8.1,1,3,0,70,4.8,71,72,1,0,0
7.4,1,1,1,64,4.0,55,62,0,0,0
8.4,2,3,2,80,4.6,72,79,1,1,1
8.2,0,3,2,90,4.8,79,80,1,1,1
8.0,1,2,1,80,4.3,71,61,0,1,0
7.9,0,3,2,90,4.8,68,83,1,1,1
6.8,0,1,0,77,3.3,64,69,0,0,0
8.3,2,3,2,82,4.6,76,85,1,1,1
7.4,1,2,1,75,4.3,55,85,0,1,0
7.6,1,1,0,66,4.1,62,73,0,1,0
8.5,2,3,1,90,4.8,78,82,1,1,0
8.2,2,3,2,90,4.6,77,88,1,1,1
8.2,1,3,2,90,4.3,77,82,0,1,1
6.5,1,1,0,79,3.6,55,64,0,1,0
7.5,1,1,2,82,4.5,77,84,1,1,1
7.5,1,2,1,85,4.1,71,84,0,1,0
6.6,0,1,1,67,4.3,56,65,0,1,0
7.6,1,1,1,88,4.5,83,86,1,1,1
7.5,1,1,1,81,4.5,64,68,1,1,0
7.5,0,2,1,66,4.5,61,71,0,1,1
8.5,2,3,1,85,4.3,88,80,1,1,1
7.9,2,1,0,71,4.8,56,66,0,1,0
8.2,0,2,0,85,4.1,57,70,1,0,0
7.2,1,2,0,69,4.0,55,61,0,1,0
8.6,2,3,2,90,4.8,75,84,1,1,1
6.5,1,1,1,78,3.9,67,73,0,1,1
8.7,1,3,0,86,4.5,77,81,1,1,1
7.8,1,2,0,78,4.8,75,65,1,1,1
7.7,1,1,0,80,4.0,55,66,0,1,0
6.5,0,2,0,80,4.6,62,86,1,1,1
8.5,1,2,1,71,3.8,78,69,1,1,0
7.4,2,3,0,86,4.6,75,72,1,1,1
8.6,1,3,2,81,4.8,71,82,1,1,1
8.0,1,2,1,88,3.6,69,69,0,1,0
7.8,1,3,1,89,4.6,73,79,1,1,1
8.1,1,3,2,90,4.7,72,87,1,0,1
7.2,1,2,0,83,4.5,74,69,0,1,0
8.4,2,3,2,87,4.8,78,88,1,1,1
8.4,0,3,2,85,4.6,90,79,1,1,0
8.3,0,3,1,88,4.7,69,80,1,1,0
7.2,0,2,1,66,3.9,67,69,0,0,0
8.6,2,3,2,90,4.8,77,86,1,1,1
7.9,2,1,0,73,4.2,56,71,0,0,0
6.6,1,1,2,81,4.8,68,71,1,0,0
7.1,1,1,1,63,3.6,58,68,0,1,0
7.8,0,3,0,90,4.7,72,69,1,1,1
6.6,1,1,1,81,4.0,73,72,0,0,0
6.5,2,3,0,79,3.7,68,86,1,1,0
7.5,2,1,0,83,4.6,58,81,1,0,0
7.5,1,2,0,70,3.7,55,66,0,1,0
7.8,0,2,2,74,4.6,58,60,1,1,0
6.6,1,2,0,71,4.0,55,68,0,0,1
7.4,1,2,0,72,4.3,55,62,0,1,0
7.8,1,3,2,77,4.2,77,82,1,0,0
8.2,2,3,2,90,4.8,89,84,1,1,1
8.9,2,3,2,89,4.6,71,83,1,1,1
8.2,1,2,1,90,4.8,78,71,1,1,1
7.5,1,3,0,70,4.2,60,68,0,1,0
7.7,1,2,0,68,3.9,62,63,0,1,0
8.7,1,3,2,90,4.7,81,80,1,1,1
7.5,1,1,1,65,4.4,55,60,0,1,0
6.6,1,1,1,82,3.7,55,60,0,1,1
7.4,2,3,1,84,4.8,77,68,0,1,1
7.5,0,3,2,90,4.8,82,81,1,1,1
8.2,1,1,1,79,4.6,55,61,0,1,0
8.7,1,2,0,84,4.4,65,88,1,1,1
8.0,2,3,1,87,4.2,75,81,1,1,1
8.4,2,2,0,76,4.4,77,73,1,1,1
8.0,2,2,2,81,4.5,69,71,0,0,0
7.5,1,2,2,70,4.7,55,70,1,1,0
6.5,1,3,2,90,4.0,85,65,1,0,1
7.8,0,3,2,73,4.6,82,85,1,0,0
7.6,1,2,0,64,4.5,62,63,0,1,0
8.7,0,3,0,75,3.7,62,74,1,1,0
7.2,1,1,0,85,3.5,84,70,0,1,0
8.1,1,3,2,90,4.7,70,85,1,1,1
7.4,1,2,0,77,4.1,55,77,1,1,0
8.2,2,2,2,81,4.8,78,83,1,1,1
8.2,2,1,2,90,4.8,79,68,1,1,1
6.5,1,2,1,65,4.0,66,69,1,1,0
7.4,0,2,1,73,3.8,58,70,0,0,0
7.3,0,1,1,80,3.6,62,65,0,1,0
8.7,0,1,1,87,4.1,72,63,0,0,0
8.5,2,1,3,82,3.6,67,81,1,1,0
8.5,1,3,2,74,4.1,76,68,0,1,1
7.9,1,2,1,76,4.1,57,66,1,1,0
7.4,2,3,0,71,4.8,86,73,1,1,0
6.7,1,2,0,86,4.4,76,73,0,0,1
8.3,2,3,2,82,4.8,57,73,1,1,1
7.6,1,1,0,76,4.3,66,69,0,1,0
7.5,1,2,0,90,4.2,77,64,0,1,1
8.9,0,3,0,89,4.8,77,78,1,0,1
7.3,1,1,0,79,4.1,57,64,1,0,0
8.6,1,2,0,86,4.8,69,77,1,1,1
8.2,2,3,2,90,4.8,81,84,1,1,1
7.7,1,1,1,73,4.6,58,72,0,0,0
7.9,1,3,0,88,4.7,87,85,1,1,1
7.4,1,1,1,87,4.6,68,65,0,1,0
6.9,0,1,0,90,4.5,81,80,1,1,1
8.0,1,3,2,90,4.8,81,86,1,1,1
7.1,1,3,0,81,4.4,78,72,1,1,0
6.9,0,1,1,76,3.8,61,67,0,0,0
8.5,2,3,2,90,4.8,80,84,1,1,1
6.9,0,1,2,76,4.8,78,82,1,0,1
7.3,1,1,1,77,4.7,57,75,1,1,0
7.8,2,3,0,89,4.6,71,68,0,1,0
8.3,2,1,0,81,4.1,76,83,1,1,0
8.6,1,3,2,83,4.4,71,83,1,1,1
8.6,2,3,0,87,4.8,75,66,0,0,0
8.7,2,1,0,90,4.7,74,86,1,1,1
7.5,1,3,2,90,4.2,80,72,1,1,1
7.8,0,1,1,63,4.5,61,65,0,0,0
6.5,0,1,0,71,3.4,59,67,0,1,0
7.6,1,3,1,73,4.4,55,62,0,1,0
6.5,1,1,1,80,3.8,58,65,1,1,0
8.0,1,3,0,75,4.3,57,66,0,0,0
8.0,2,3,0,86,4.8,73,82,1,1,1
7.5,1,1,0,67,4.2,57,70,1,1,1
7.8,1,3,0,78,4.4,77,70,0,1,1
7.3,1,1,1,75,3.6,55,66,0,1,0
7.8,1,2,0,82,4.7,77,67,1,1,0
6.5,1,1,1,82,3.4,56,66,0,0,0
8.1,1,3,3,90,4.8,69,82,1,1,1
7.9,0,1,0,85,4.5,76,81,1,0,0
8.7,1,3,0,74,4.6,86,83,1,1,1
7.1,2,2,0,76,4.0,55,69,0,1,1
8.9,1,3,2,81,4.8,82,81,1,0,1
8.3,0,3,0,75,4.2,77,69,1,0,0
8.3,1,2,0,90,4.5,82,80,1,1,1
7.9,2,3,2,86,4.7,69,82,1,1,1
8.1,2,3,2,90,4.5,78,81,1,1,1
7.7,2,1,1,64,3.7,77,70,0,1,0
8.1,2,3,2,85,4.5,76,88,1,1,1
7.8,1,3,0,81,4.3,64,70,0,0,0
7.2,1,1,1,67,3.8,59,63,0,0,0
8.4,1,1,2,84,4.8,82,68,1,1,1
8.4,2,3,2,90,4.8,82,86,1,1,1
8.2,1,1,0,76,4.2,55,62,0,1,0
6.5,0,1,0,67,4.3,81,63,1,0,1
6.5,1,1,0,73,4.1,55,66,0,1,0
8.3,2,3,2,90,4.8,74,83,1,1,1
8.2,0,3,2,78,4.5,88,84,0,1,1
8.1,1,2,2,76,4.5,79,81,1,1,1
6.5,1,1,1,60,3.8,56,62,0,0,0
8.2,0,3,1,83,4.7,81,87,1,0,0
7.7,1,3,1,75,4.6,74,63,1,1,0
7.7,0,3,2,89,4.4,82,85,1,1,1
6.5,1,1,0,80,4.3,75,68,1,1,0
8.3,2,3,2,87,4.8,74,80,1,1,0
8.0,1,3,0,77,4.1,82,84,0,0,1
8.6,0,2,1,90,4.6,56,87,1,1,1
7.6,0,2,0,83,4.2,55,70,0,1,0
7.0,1,1,1,71,4.3,74,64,0,1,0
7.9,2,3,2,90,4.8,78,86,1,1,1
7.7,1,3,2,84,4.6,80,83,1,1,1
7.4,1,3,0,76,4.4,58,71,1,1,0
6.5,1,1,1,78,4.1,55,62,0,1,0
7.4,1,2,0,73,4.3,65,68,0,1,0
7.8,2,3,2,84,4.1,76,80,1,1,1
7.7,1,1,0,80,4.8,55,61,1,1,0
7.9,0,1,0,60,3.4,64,59,0,0,0
7.4,1,1,0,79,4.8,72,66,0,1,0
8.2,2,2,1,76,4.6,66,65,1,1,0
7.4,0,1,0,78,4.6,56,69,0,0,0
6.7,1,1,1,66,3.6,55,67,0,0,0
6.5,1,2,0,84,4.2,74,78,1,0,0
7.8,0,1,1,73,4.8,77,88,1,1,1
7.2,1,2,1,68,4.4,55,64,0,0,0
8.1,0,2,0,88,4.0,67,84,0,1,1
8.2,1,2,0,83,4.6,66,86,1,1,1
8.2,0,3,3,90,4.7,65,87,1,1,1
8.4,2,1,2,81,4.7,77,82,1,1,0
7.8,0,3,2,77,4.2,83,76,1,1,0
7.3,1,2,1,75,4.6,55,75,0,1,0
7.5,1,1,0,67,4.6,86,62,0,0,0
8.0,2,1,0,74,4.1,80,67,0,1,1
7.5,2,3,2,90,4.7,80,83,1,1,1
8.4,2,3,1,85,4.7,63,78,1,1,1
6.6,1,1,0,73,3.4,56,69,0,0,0
7.6,1,1,0,66,3.7,65,60,1,1,0
7.1,1,2,0,80,4.3,69,65,1,1,0
7.6,1,2,2,69,3.3,64,63,0,1,0
7.5,1,1,2,75,3.5,55,64,1,1,0
6.5,1,1,0,74,3.9,70,67,0,0,0
6.7,1,1,1,73,4.0,62,65,0,1,0
8.3,1,3,1,86,4.8,80,67,0,1,0
8.6,2,1,2,73,4.6,55,82,1,0,0
6.6,1,3,0,70,4.1,78,63,1,0,1
8.3,1,3,0,82,4.8,71,88,1,1,0
7.6,1,2,1,76,3.9,55,69,0,0,0
8.3,2,3,2,79,4.4,74,80,1,1,1
8.5,1,2,1,70,4.5,74,64,1,1,1
7.7,1,2,0,82,4.3,77,67,0,1,0
7.4,1,1,0,89,4.4,58,73,0,1,0
8.8,1,3,2,88,4.8,79,86,1,1,1
7.0,1,2,0,75,4.6,78,67,1,1,0
7.7,0,3,2,86,4.7,79,67,0,1,0
7.5,0,2,0,71,3.4,55,62,0,0,0
7.5,1,1,1,79,3.6,63,65,0,1,0
7.8,1,1,0,82,4.2,75,71,0,1,0
6.8,1,1,2,74,4.2,77,84,1,0,0
7.3,0,1,0,80,3.5,55,61,0,1,0
7.2,0,2,1,60,3.6,74,71,0,0,0
6.7,2,0,0,69,3.9,76,71,0,1,0
7.3,0,3,2,77,4.6,72,88,1,1,1
6.6,2,3,1,72,4.6,56,57,1,0,0
6.9,2,1,0,67,4.0,59,61,1,0,0
8.2,1,1,0,79,4.2,72,69,0,0,0
6.7,1,2,1,80,4.1,63,59,0,0,0
7.9,1,2,1,63,4.2,56,69,0,1,0
8.3,2,3,2,89,4.7,80,88,1,1,1
6.8,0,2,0,88,4.5,67,63,0,1,0
7.6,1,2,0,88,4.8,57,68,0,1,0
7.9,2,3,2,90,4.8,80,84,1,1,0
6.5,0,3,0,81,4.8,90,68,1,1,0
7.3,1,1,1,69,4.2,55,65,0,0,0
7.7,2,3,0,78,4.1,70,81,1,1,0
7.9,1,2,2,75,4.6,71,85,1,1,0
7.9,2,3,1,82,4.2,83,69,1,1,0
7.5,1,1,0,71,3.7,55,61,0,1,0
7.5,1,3,0,86,4.2,81,71,1,1,0
8.2,1,1,2,83,4.4,64,80,1,1,1
8.0,0,3,3,90,4.3,75,87,1,1,1
7.5,1,3,1,89,4.2,72,71,0,1,0
7.8,1,1,0,69,4.7,57,64,0,0,0
8.1,0,2,0,80,4.5,69,83,0,1,0
8.2,1,1,0,70,4.2,55,62,0,0,0
8.1,1,3,0,88,4.3,72,85,0,0,0
8.1,1,3,2,90,4.5,77,81,1,1,1
